token	0	1	2	3	mean	std	category	conccat	VQA	batch
bike	4.0	4.0	4.0		4.0	0.0	modifier	C	0.9924596548080444	0
coffee	4.0	4.0	4.0		4.0	0.0	modifier	C	0.9897364974021912	0
puppy dog	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9933360815048218	0
wedding photography	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9860563278198242	0
wedding party	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9799360632896424	0
web conference	4.0	4.0	4.0	4.0	4.0	0.0	compound	CC	0.9876203536987304	1
dog food	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9633259177207948	2
rowing machine	4.0	4.0	4.0		4.0	0.0	compound	CC	0.983293890953064	2
pyramid	4.0	4.0	4.0		4.0	0.0	modifier	C	0.9744526147842408	2
road closure	4.0	4.0	4.0		4.0	0.0	compound	CA	0.9897328019142152	2
horror	4.0	4.0	4.0		4.0	0.0	modifier	A	0.9937293529510498	2
office	4.0	4.0	4.0		4.0	0.0	modifier	C	0.9954018592834472	3
dog	4.0	4.0	4.0		4.0	0.0	headmod	C	0.9924596548080444	3
wedding cake	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9914288520812988	3
construction	4.0	4.0	4.0		4.0	0.0	modifier	C	0.994792938232422	3
ball	4.0	4.0	4.0		4.0	0.0	modifier	C	0.9890734553337096	4
dining area	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9876846671104432	4
family dog	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9744513034820556	4
family album	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9537385106086732	4
laboratory	4.0	4.0	4.0		4.0	0.0	modifier	C	0.9933066368103028	4
prom queen	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9185448288917542	4
health food	4.0	4.0	4.0		4.0	0.0	compound	AC	0.9929111003875732	4
war	4.0	4.0	4.0		4.0	0.0	modifier	C	0.991972029209137	4
horse	4.0	4.0	4.0		4.0	0.0	modifier	C	0.9954018592834472	4
school dinner	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9417059421539308	4
puppy	4.0	4.0	4.0		4.0	0.0	modifier	C	0.9903407096862792	5
hen	4.0	4.0	4.0		4.0	0.0	modifier	C	0.4835674166679382	5
wedding day	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9964041709899902	5
arcade game	4.0	4.0	4.0		4.0	0.0	compound	CC	0.8933345675468445	6
safety helmet	4.0	4.0	4.0		4.0	0.0	compound	AC	0.9675769805908204	6
sheet music	4.0	4.0	4.0		4.0	0.0	compound	CC	0.985153317451477	7
bank card	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9758807420730592	7
machine	4.0	4.0	4.0		4.0	0.0	head	C	0.9832944869995116	7
safety equipment	4.0	4.0	4.0		4.0	0.0	compound	AC	0.9933279752731324	7
queen	4.0	4.0	4.0		4.0	0.0	head	C	0.9509457945823668	7
ballet shoe	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9612197279930116	7
space helmet	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9786239266395568	8
dinner	4.0	4.0	4.0		4.0	0.0	headmod	C	0.9675766229629515	8
steel helmet	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9417065382003784	9
surgery	4.0	4.0	4.0		4.0	0.0	head	C	0.9876211881637572	10
toilet paper	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9773106575012208	10
sausage dog	4.0	4.0	4.0		4.0	0.0	compound	CC	0.8688126802444458	10
camping area	4.0	4.0	4.0		4.0	0.0	compound	CC	0.9799374341964722	10
dining	4.0	4.0	4.0		4.0	0.0	modifier	C	0.9903397560119628	10
baby	4.0	4.0	4.0		4.0	0.0	modifier	C	0.9914909601211548	10
art	4.0	4.0	4.0		4.0	0.0	modifier	C	0.9822058081626892	11
rowing	4.0	4.0	4.0		4.0	0.0	modifier	C	0.9868979454040528	11
space station	4.0	4.0	4.0		4.0	0.0	compound	CC	0.978623628616333	11
wedding	4.0	4.0	4.0		4.0	0.0	modifier	C	0.996176540851593	11
cake	4.0	4.0	4.0		4.0	0.0	head	C	0.9933378100395204	11
family dinner	4.0	3.0	4.0	4.0	3.75	0.5	compound	CC	0.974443018436432	1
studio	4.0	4.0	3.0	4.0	3.75	0.5	modifier	C	0.9924288988113404	1
novelty	4.0	4.0	3.0		3.6666666666666665	0.5773502691896258	modifier	A	0.9937052726745604	0
dinner party	3.0	4.0	4.0		3.6666666666666665	0.5773502691896258	compound	CC	0.965451955795288	0
camping	3.0	4.0	4.0		3.6666666666666665	0.5773502691896258	modifier	C	0.9950965046882628	0
gym equipment	3.0	4.0	4.0		3.6666666666666665	0.5773502691896258	compound	CC	0.993337333202362	0
fantasy	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	modifier	A	0.9940951466560364	2
helmet	3.0	4.0	4.0		3.6666666666666665	0.5773502691896258	head	C	0.974452257156372	2
street	3.0	4.0	4.0		3.6666666666666665	0.5773502691896258	modifier	C	0.9799394011497498	3
