compound,const,workerID,judgement
box scheme,box,1013,5
box scheme,scheme,1021,0
box scheme,scheme,1061,0
box scheme,scheme,1092,2
box scheme,scheme,1017,2
box scheme,scheme,1073,4
box scheme,scheme,1075,3
box scheme,scheme,1069,3
box scheme,scheme,1009,4
box scheme,scheme,1094,5
box scheme,scheme,1013,0
box scheme,scheme,1040,4
box scheme,scheme,1025,3
box scheme,scheme,1062,5
box scheme,scheme,1045,4
box scheme,scheme,1035,1
box scheme,box,1035,4
box scheme,box,1040,2
box scheme,box,1062,1
box scheme,box,1025,1
box scheme,box,1061,0
box scheme,box,1075,0
box scheme,box,1069,4
box scheme,box,1073,0
box scheme,box,1017,2
box scheme,box,1021,0
box scheme,box,1009,1
box scheme,box,1045,3
box scheme,box,1094,5
box scheme,box,1092,1
carnival queen,queen,1073,0
carnival queen,queen,1009,3
carnival queen,queen,1035,1
carnival queen,carnival,1062,2
carnival queen,queen,1094,5
carnival queen,queen,1025,3
carnival queen,queen,1075,3
carnival queen,carnival,1040,3
carnival queen,queen,1061,2
carnival queen,queen,1069,3
carnival queen,queen,1045,3
carnival queen,queen,1013,1
carnival queen,carnival,1025,4
carnival queen,carnival,1021,1
carnival queen,carnival,1013,5
carnival queen,carnival,1009,1
carnival queen,queen,1092,1
carnival queen,carnival,1075,4
carnival queen,carnival,1092,1
carnival queen,carnival,1035,3
carnival queen,carnival,1094,5
carnival queen,carnival,1061,4
carnival queen,carnival,1073,1
carnival queen,carnival,1045,5
carnival queen,carnival,1017,5
carnival queen,queen,1040,2
carnival queen,queen,1017,1
carnival queen,queen,1062,1
carnival queen,carnival,1069,5
carnival queen,queen,1021,1
child protection,protection,1009,5
child protection,protection,1025,5
child protection,protection,1035,2
child protection,protection,1062,5
child protection,protection,1061,5
child protection,protection,1069,4
child protection,protection,1013,5
child protection,protection,1040,5
child protection,protection,1094,5
child protection,protection,1021,0
child protection,protection,1045,5
child protection,protection,1092,5
child protection,protection,1017,4
child protection,protection,1073,5
child protection,protection,1075,5
child protection,child,1025,5
child protection,child,1035,5
