compound,const,mean
concept album,concept,3.8
concept album,album,4.9
family album,family,4.7
family album,album,5.0
music album,music,4.9
music album,album,5.0
studio album,studio,4.6
studio album,album,5.0
confidentiality agreement,confidentiality,4.7
confidentiality agreement,agreement,5.0
licensing agreement,licensing,4.9
licensing agreement,agreement,5.0
loan agreement,loan,4.8
loan agreement,agreement,5.0
plea agreement,plea,4.4
plea agreement,agreement,5.0
service agreement,service,4.8
service agreement,agreement,5.0
tenancy agreement,tenancy,4.8
tenancy agreement,agreement,5.0
camping area,camping,4.8
camping area,area,5.0
conservation area,conservation,4.7
conservation area,area,5.0
dining area,dining,4.9
dining area,area,5.0
language area,language,4.2
language area,area,4.7
parking area,parking,4.9
parking area,area,5.0
service area,service,4.5
service area,area,5.0
entry barrier,entry,4.8
entry barrier,barrier,5.0
language barrier,language,4.7
language barrier,barrier,4.9
noise barrier,noise,4.8
noise barrier,barrier,4.9
pain barrier,pain,2.1
pain barrier,barrier,2.8
safety barrier,safety,4.9
safety barrier,barrier,5.0
ticket barrier,ticket,4.8
ticket barrier,barrier,5.0
glove box,glove,1.7
glove box,box,4.9
letter box,letter,4.8
letter box,box,4.9
lunch box,lunch,4.9
lunch box,box,5.0
memory box,memory,2.3
memory box,box,4.8
selection box,selection,4.7
selection box,box,4.9
shoe box,shoe,4.9
shoe box,box,5.0
suggestion box,suggestion,4.8
suggestion box,box,4.9
tool box,tool,4.9
tool box,box,5.0
cup cake,cup,2.1
cup cake,cake,4.8
fruit cake,fruit,4.9
fruit cake,cake,5.0
novelty cake,novelty,4.4
novelty cake,cake,4.9
potato cake,potato,4.8
potato cake,cake,4.9
rice cake,rice,4.8
rice cake,cake,4.9
wedding cake,wedding,4.8
wedding cake,cake,5.0
bank card,bank,4.8
bank card,card,5.0
gift card,gift,4.9
gift card,card,5.0
greeting card,greeting,4.9
greeting card,card,5.0
identity card,identity,4.7
identity card,card,5.0
library card,library,4.9
library card,card,5.0
loyalty card,loyalty,4.8
loyalty card,card,5.0
memory card,memory,4.8
memory card,card,5.0
emergency closure,emergency,4.7
emergency closure,closure,4.9
factory closure,factory,4.9
factory closure,closure,5.0
road closure,road,4.9
road closure,closure,5.0
case conference,case,4.0
